Data,EURUSD,10-Year German Bond Yield,S&P500,Gold,XYZ,sigma_XYZ
02/02/2006,1.2085,3.508,1270.84,575.3,100.0033797,0.004620055
03/02/2006,1.2024,3.489,1264.03,571.5,100.0106439,0.005616324
06/02/2006,1.1971,3.486,1265.02,573.2,100.020959,0.004229164
07/02/2006,1.1983,3.514,1254.78,551.3,100.0240449,0.003454195
08/02/2006,1.1957,3.504,1265.65,552.2,100.0300531,0.005267888
09/02/2006,1.1984,3.477,1263.78,567.8,100.0413927,0.005520364
10/02/2006,1.1904,3.476,1266.99,553.8,100.0435628,0.005802088
13/02/2006,1.19,3.492,1262.86,542,100.0476073,0.005842937
14/02/2006,1.1913,3.498,1275.53,550.1,100.0553332,0.007743042
15/02/2006,1.1891,3.506,1280,542.3,100.0352264,0.010356592
16/02/2006,1.1901,3.512,1289.38,549.1,100.0355542,0.008210849
17/02/2006,1.1939,3.447,1287.24,553.6,100.0379029,0.007062334
21/02/2006,1.1907,3.448,1283.04,555.6,100.0485206,0.013718604
22/02/2006,1.1909,3.419,1292.67,557.3,100.0618183,0.011557947
23/02/2006,1.1918,3.479,1287.79,551.5,100.0472514,0.015426587
24/02/2006,1.1876,3.49,1289.43,561.1,100.0318527,0.015914331
27/02/2006,1.1845,3.532,1294.12,556,100.0541877,0.024049435
28/02/2006,1.1928,3.489,1280.66,564,100.0353522,0.022028789
01/03/2006,1.1921,3.511,1291.24,565.1,100.047308,0.021415595
02/03/2006,1.2032,3.573,1289.14,571.1,100.0615842,0.025054614
03/03/2006,1.2043,3.591,1287.23,566.6,100.0876578,0.019244154
06/03/2006,1.2007,3.585,1278.26,556.4,100.0816397,0.018538346
07/03/2006,1.1886,3.599,1275.88,553.7,100.0908378,0.019535628
08/03/2006,1.1927,3.644,1278.47,542.5,100.0712307,0.024064907
09/03/2006,1.1904,3.648,1272.23,545.9,100.0653746,0.028680227
10/03/2006,1.1905,3.687,1281.58,541.3,100.0243882,0.046426167
13/03/2006,1.196,3.712,1284.13,546.7,100.0565416,0.049585101
14/03/2006,1.2014,3.654,1297.48,552.8,100.0595622,0.050987464
15/03/2006,1.2066,3.688,1303.02,554.1,100.035722,0.035095192
16/03/2006,1.217,3.658,1305.33,555.3,100.1084774,0.037738206
17/03/2006,1.2189,3.691,1307.25,554.6,100.1328714,0.030258162
20/03/2006,1.2159,3.663,1305.08,555.8,100.1379787,0.026661536
21/03/2006,1.2112,3.665,1297.23,552.9,100.1279058,0.024145228
22/03/2006,1.2077,3.644,1305.04,551.1,100.172464,0.029746931
23/03/2006,1.1967,3.675,1301.67,550.6,100.1955989,0.027539378
24/03/2006,1.2031,3.634,1302.95,560.3,100.1250174,0.032702862
27/03/2006,1.2015,3.642,1301.61,565.4,100.1263037,0.03931992
28/03/2006,1.1999,3.731,1293.23,572.4,100.2016807,0.046967464
29/03/2006,1.2022,3.761,1302.89,578.6,100.2511724,0.051149523
30/03/2006,1.2165,3.786,1300.25,591.3,100.3034099,0.041342099
31/03/2006,1.2117,3.771,1294.81,586.1,100.3171457,0.051217964
03/04/2006,1.213,3.822,1297.81,594,100.2231818,0.050236672
04/04/2006,1.2258,3.839,1305.93,592.1,100.2333711,0.069607013
05/04/2006,1.229,3.85,1311.56,592.3,100.2352858,0.048404546
06/04/2006,1.2217,3.896,1309.04,599.2,100.3041262,0.03678465
07/04/2006,1.2091,3.896,1295.5,592,100.3238367,0.023583558
10/04/2006,1.2112,3.892,1296.6,600.3,100.3573384,0.031591002
11/04/2006,1.2139,3.875,1286.56,597.9,100.3850268,0.027377391
12/04/2006,1.2102,3.886,1288.12,600,100.3671669,0.023047715
13/04/2006,1.2106,3.952,1289.12,598.3,100.4054643,0.033877374
17/04/2006,1.2255,3.956,1285.33,615.1,100.3991052,0.034461588
18/04/2006,1.2362,3.947,1307.65,621,100.3665937,0.037013944
19/04/2006,1.2377,3.954,1309.93,631.9,100.3172723,0.034819229
20/04/2006,1.2314,3.929,1311.46,623.5,100.3083752,0.036778587
21/04/2006,1.234,3.952,1311.28,631.2,100.3193102,0.041936884
24/04/2006,1.2382,3.941,1308.11,629.5,100.3155979,0.040947725
